,,Search Results (2016-03-14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tag Number,Product,Zone,Inbound Account,Inbound Load Date,Inbound Gross Weight,Inbound Tare,Inbound Net Weight,Inbound Price Per LB,Inbound Price,Inbound Unit Count,Inbound Price Per Unit,Outbound Account,Outbound Load Date,Outbound Gross Weight,Outbound Tare,Outbound Net Weight,Outbound Price Per LB,Outbound Price,Outbound Unit Count,Outbound Price Per Unit,Comments
,,,,,,,,,,,,,,,,,,,,,,
,10420160118,CRT Monitors,,Smart Metals Recycling,"January 04, 2016",516,65,451,,0,,,CompuPoint,"January 04, 2016",516,65,451,-0.06,-27.06,,,
,10420160119,CRT TVs,,Smart Metals Recycling,"January 04, 2016",588,35,553,,0,,,CompuPoint,"January 04, 2016",588,35,553,-0.09,-49.77,,,
,10420160121,Power Supplies (No Wire),,Smart Metals Recycling,"January 04, 2016",528,50,478,,0,,,Wai Mei Dat,"January 04, 2016",528,50,478,0.25,119.5,,,
,10420160122,Laptop Scrap,,Smart Metals Recycling,"January 04, 2016",894,60,834,,0,,,Falleno,"February 17, 2016",1483,60,1423,1,1423,,,
,10420160123,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",520,65,455,-0.06,-27.3,,,Smart Metals Recycling,"January 04, 2016",520,65,455,,0,,,
,10420160124,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",469,65,404,-0.06,-24.24,,,Smart Metals Recycling,"January 04, 2016",469,65,404,,0,,,
,10420160125,Computer Towers (Incomplete),,Goodwill NWNC,"January 04, 2016",1394,35,1359,0.1,135.9,,,,,1394,35,1359,,0,,,
,10420160126,LCD TVs,,Goodwill NWNC,"January 04, 2016",577,65,512,0,0,,,,,442,65,377,,0,,,
,10420160127,CRT Monitors,,Goodwill NWNC,"January 04, 2016",833,35,798,-0.15,-119.7,,,CompuPoint,"January 25, 2016",823,35,788,-0.08,-63.04,,,
,10420160128,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",515,75,440,-0.06,-26.4,,,Smart Metals Recycling,"January 04, 2016",515,75,440,,0,,,
,10420160129,Printers,,Goodwill NWNC,"January 04, 2016",369,65,304,-0.06,-18.24,,,Fu Yang Agency ,"February 10, 2016",304,0,304,0.09,27.36,,,
,10420160130,LCD TVs,,Goodwill NWNC,"January 04, 2016",581,65,516,0,0,,,,,515,65,450,,0,,,
,10420160131,Printers,,Goodwill NWNC,"January 04, 2016",482,65,417,-0.06,-25.02,,,Fu Yang Agency ,"February 10, 2016",473,65,408,0.09,36.72,,,
,10420160132,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",480,65,415,-0.06,-24.9,,,Smart Metals Recycling,"January 04, 2016",480,65,415,,0,,,
,10420160133,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",389,65,324,-0.06,-19.44,,,Smart Metals Recycling,"January 04, 2016",389,65,324,,0,,,
,10420160134,LCD Monitors,,Goodwill NWNC,"January 04, 2016",600,65,535,,40,16,2.5,,,389,65,324,,0,,,
,10420160135,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",319,65,254,-0.06,-15.24,,,Smart Metals Recycling,"January 04, 2016",319,65,254,,0,,,
,10420160136,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",440,55,385,-0.06,-23.1,,,Smart Metals Recycling,"January 04, 2016",440,55,385,,0,,,
,10420160137,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",327,65,262,-0.06,-15.72,,,Smart Metals Recycling,"January 04, 2016",327,65,262,,0,,,
,10420160138,Consumer Electronics,,Goodwill NWNC,"January 04, 2016",438,65,373,-0.06,-22.38,,,Smart Metals Recycling,"January 04, 2016",438,65,373,,0,,,
,10420160139,LCD Monitors,,Goodwill NWNC,"January 04, 2016",703,65,638,,60,24,2.5,Smart Metals Recycling,"January 06, 2016",703,65,638,,0,,,
,10420160140,CRT TVs,,Goodwill NWNC,"January 04, 2016",824,35,789,-0.25,-197.25,,,CompuPoint,"January 25, 2016",817,35,782,-0.12,-93.84,,,
,10420160141,CRT TVs,,Goodwill NWNC,"January 04, 2016",845,35,810,-0.25,-202.5,,,CompuPoint,"January 25, 2016",832,35,797,-0.12,-95.64,,,
,10420160142,Computer Towers (Incomplete),,Biltmore Iron & Metal,"January 04, 2016",1500,55,1445,0.14,202.3,,,,,1500,55,1445,,0,,,
,10420160143,Hard Drives (complete with board),A,Biltmore Iron & Metal,"January 04, 2016",346,35,311,0.54,167.94,,,Total Metal,"March 03, 2016",346,35,311,0.52,161.72,,,
,10420160144,CD/DVD Drives,A,Biltmore Iron & Metal,"January 04, 2016",260,40,220,0.09,19.8,,,Total Metal,"March 03, 2016",260,40,220,0.195,42.9,,,
,10420160145,CRT TVs,,Biltmore Iron & Metal,"January 04, 2016",726,50,676,-0.25,-169,,,CompuPoint,"January 28, 2016",726,50,676,-0.12,-81.12,,,
,10420160146,Computer Towers (Incomplete),,Biltmore Iron & Metal,"January 04, 2016",1266,50,1216,0.14,170.24,,,,,1266,50,1216,,0,,,
,10420160147,Laptops,,Biltmore Iron & Metal,"January 04, 2016",747,55,692,0.75,519,,,,,747,55,692,,0,,,
,10420160148,CB Radio Equipment,,Biltmore Iron & Metal,"January 04, 2016",976,35,941,0.05,47.05,,,,,976,35,941,,0,,,
,10420160149,CRT TVs,,Biltmore Iron & Metal,"January 04, 2016",979,35,944,-0.25,-236,,,CompuPoint,"January 20, 2016",979,35,944,0.12,113.28,,,
,10420160150,Servers (Incomplete),,Biltmore Iron & Metal,"January 04, 2016",1133,35,1098,0.18,197.64,,,Wai Mei Dat,"February 11, 2016",1133,35,1098,0.45,494.1,,,
,10420160151,Printers,,Biltmore Iron & Metal,"January 04, 2016",710,65,645,-0.01,-6.45,,,Fu Yang Agency ,"February 10, 2016",710,65,645,0.09,58.05,,,
,10420160152,CRT TVs,,Biltmore Iron & Metal,"January 04, 2016",821,50,771,-0.25,-192.75,,,CompuPoint,"January 25, 2016",809,50,759,-0.12,-91.08,,,
,10420160153,LCD TVs,,Biltmore Iron & Metal,"January 04, 2016",518,65,453,0,0,,,Zou Yao Wen,"February 29, 2016",513,65,448,0.03,13.44,,,
,10420160154,Printers,,Biltmore Iron & Metal,"January 04, 2016",619,65,554,-0.01,-5.54,,,Fu Yang Agency ,"February 10, 2016",619,65,554,0.09,49.86,,,
,10520160001,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",821,65,756,-0.06,-45.36,,,Smart Metals Recycling,"January 06, 2016",821,65,756,,0,,,
,10520160002,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",459,60,399,-0.06,-23.94,,,Smart Metals Recycling,"January 06, 2016",459,60,399,,0,,,
,10520160003,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",508,65,443,-0.06,-26.58,,,Smart Metals Recycling,"January 06, 2016",508,65,443,,0,,,
,10520160004,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",527,65,462,-0.06,-27.72,,,Smart Metals Recycling,"January 06, 2016",527,65,462,,0,,,
,10520160005,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",395,65,330,-0.06,-19.8,,,Smart Metals Recycling,"January 06, 2016",395,65,330,,0,,,
,10520160006,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",451,65,386,-0.06,-23.16,,,Smart Metals Recycling,"January 06, 2016",451,65,386,,0,,,
,10520160007,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",412,60,352,-0.06,-21.12,,,Smart Metals Recycling,"January 06, 2016",412,60,352,,0,,,
,10520160008,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",423,60,363,-0.06,-21.78,,,Smart Metals Recycling,"January 06, 2016",423,60,363,,0,,,
,10520160009,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",389,60,329,-0.06,-19.74,,,Smart Metals Recycling,"January 06, 2016",389,60,329,,0,,,
,10520160010,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",453,65,388,-0.06,-23.28,,,Smart Metals Recycling,"January 06, 2016",453,65,388,,0,,,
,10520160011,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",483,65,418,-0.06,-25.08,,,Smart Metals Recycling,"January 06, 2016",483,65,418,,0,,,
,10520160012,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",410,65,345,-0.06,-20.7,,,Smart Metals Recycling,"January 06, 2016",410,65,345,,0,,,
,10520160013,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",493,60,433,-0.06,-25.98,,,Smart Metals Recycling,"January 06, 2016",493,60,433,,0,,,
,10520160014,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",402,60,342,-0.06,-20.52,,,Smart Metals Recycling,"January 06, 2016",402,60,342,,0,,,
,10520160015,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",508,60,448,-0.06,-26.88,,,Smart Metals Recycling,"January 06, 2016",508,60,448,,0,,,
,10520160016,Consumer Electronics,,Goodwill NWNC,"January 05, 2016",452,60,392,-0.06,-23.52,,,Smart Metals Recycling,"January 06, 2016",452,60,392,,0,,,
